age,annual_income,loan_amount,loan_term_months,credit_score,existing_loans_count,debt_to_income_ratio,credit_utilization,missed_payments_last_12m,employment_years,employment_type,monthly_installment,installment_to_income_ratio,default
54,90804.18,34314.57,36,680.0,1,0.826,0.189,1,14.4,self_employed,953.18,0.126,0
29,58017.3,14264.15,60,686.0,0,0.431,0.118,0,29.2,salaried,237.74,0.049,0
46,29051.34,18046.37,24,680.0,1,0.816,0.839,0,2.6,self_employed,751.93,0.311,1
22,16736.43,8967.97,60,513.0,2,0.821,0.788,0,15.2,business_owner,149.47,0.107,0
29,32456.31,17988.44,36,579.0,1,0.568,0.462,1,18.1,business_owner,499.68,0.185,1
29,95486.89,10065.3,12,448.0,0,0.437,0.421,0,28.0,salaried,838.78,0.105,1
60,121996.27,4991.76,36,608.0,3,0.677,0.749,0,8.9,business_owner,138.66,0.014,0
37,43523.21,17301.05,48,572.0,3,0.829,0.536,0,15.1,salaried,360.44,0.099,1
21,23612.24,13280.98,36,647.0,0,0.628,0.404,0,29.6,self_employed,368.92,0.187,0
45,35446.98,6916.61,24,871.0,2,0.228,0.252,0,23.1,salaried,288.19,0.098,0
63,86586.82,35854.75,60,720.0,1,0.747,0.123,0,24.3,salaried,597.58,0.083,1
60,36479.05,8434.85,48,788.0,0,0.859,0.595,0,23.4,salaried,175.73,0.058,0
62,65812.3,19253.74,60,724.0,1,0.399,0.826,1,15.5,salaried,320.9,0.059,0
45,53331.33,10747.96,60,641.0,1,0.643,0.746,0,13.0,salaried,179.13,0.04,0
59,69912.63,33730.11,36,649.0,2,0.49,0.696,2,7.6,self_employed,936.95,0.161,1
55,121662.43,11584.78,12,728.0,1,0.145,0.929,1,14.0,salaried,965.4,0.095,0
23,65833.94,4891.35,48,672.0,2,0.347,0.395,0,0.6,salaried,101.9,0.019,0
57,52757.34,21720.27,24,624.0,0,0.189,0.137,0,2.9,business_owner,905.01,0.206,0
64,128564.6,33648.59,24,778.0,2,0.623,0.102,1,8.6,salaried,1402.02,0.131,0
64,58382.77,10336.46,12,690.0,0,0.545,0.955,0,10.0,salaried,861.37,0.177,0
50,32975.7,20077.01,12,522.0,0,0.079,0.589,1,21.2,salaried,1673.08,0.609,1
58,69129.21,14438.58,36,634.0,3,0.102,0.811,0,5.1,salaried,401.07,0.07,0
54,61311.81,10618.68,24,655.0,1,0.272,0.536,0,23.9,business_owner,442.44,0.087,0
32,42026.21,22124.84,48,614.0,1,0.683,0.398,0,24.0,self_employed,460.93,0.132,0
39,37843.21,8266.6,12,615.0,1,0.158,0.2,0,17.6,salaried,688.88,0.218,0
57,42229.33,13622.76,12,612.0,2,0.224,0.856,0,14.7,business_owner,1135.23,0.323,0
64,37573.54,15590.45,12,489.0,2,0.821,0.064,1,14.0,salaried,1299.2,0.415,1
37,42921.15,15254.86,48,473.0,1,0.514,0.9,0,12.6,salaried,317.81,0.089,0
30,32163.96,8389.67,24,591.0,0,0.578,0.205,0,2.7,salaried,349.57,0.13,1
32,59461.09,45970.87,48,614.0,3,0.437,0.01,0,19.7,business_owner,957.73,0.193,0
36,57273.92,28491.1,48,529.0,0,0.305,0.104,0,17.3,salaried,593.56,0.124,1
44,58255.91,24203.38,36,558.0,1,0.262,0.884,0,0.5,self_employed,672.32,0.138,1
39,47515.69,31568.9,12,627.0,2,0.551,0.074,1,6.1,salaried,2630.74,0.664,1
28,44854.01,13922.44,24,743.0,0,0.45,0.355,2,13.1,self_employed,580.1,0.155,0
51,100811.01,10691.73,36,737.0,2,0.393,0.25,2,27.0,salaried,296.99,0.035,0
41,50701.1,6950.57,36,740.0,2,0.64,0.037,0,29.7,business_owner,193.07,0.046,0
37,92215.49,8759.91,60,559.0,2,0.394,0.531,2,22.5,salaried,146.0,0.019,0
43,29785.95,7270.54,12,630.0,1,0.081,0.998,0,22.5,salaried,605.88,0.244,1
57,65814.07,9731.63,24,761.0,0,0.764,0.853,0,12.5,salaried,405.48,0.074,0
36,33950.15,15770.33,24,491.0,2,0.321,0.169,0,17.1,self_employed,657.1,0.232,0
26,37120.48,23119.11,24,609.0,1,0.854,0.884,0,7.0,salaried,963.3,0.311,0
28,39896.63,22738.44,12,670.0,2,0.798,0.452,0,22.1,salaried,1894.87,0.57,0
45,38665.4,6615.0,24,497.0,1,0.249,0.273,0,1.8,salaried,275.62,0.086,1
38,38762.08,20200.8,48,689.0,2,0.871,0.64,1,12.5,salaried,420.85,0.13,0
45,90096.59,26537.51,48,789.0,3,0.776,0.217,1,24.9,self_employed,552.86,0.074,0
32,50146.58,11469.64,12,760.0,5,0.887,0.88,0,29.4,business_owner,955.8,0.229,1
35,54859.34,27409.64,24,634.0,0,0.626,0.624,0,20.9,business_owner,1142.07,0.25,0
46,39004.02,22594.91,60,723.0,1,0.841,0.136,1,5.9,self_employed,376.58,0.116,0
61,75242.36,6255.68,60,496.0,0,0.637,0.571,0,17.1,salaried,104.26,0.017,0
46,58543.66,49763.73,60,675.0,0,0.777,0.51,1,16.8,self_employed,829.4,0.17,0
52,42004.65,8695.94,48,623.0,0,0.569,0.471,0,29.0,self_employed,181.17,0.052,0
30,22200.23,23728.97,60,637.0,0,0.84,0.365,0,25.2,salaried,395.48,0.214,0
36,54619.61,23219.16,24,659.0,1,0.49,0.474,1,1.5,salaried,967.46,0.213,0
27,65371.38,6409.86,24,685.0,0,0.676,0.586,0,6.6,salaried,267.08,0.049,0
37,30048.74,14874.26,60,519.0,2,0.829,0.734,0,25.3,business_owner,247.9,0.099,1
43,42289.86,23048.36,36,562.0,0,0.409,0.918,1,29.2,salaried,640.23,0.182,0
46,64124.4,6369.22,60,627.0,0,0.072,0.044,2,8.8,business_owner,106.15,0.02,0
41,22348.98,14182.58,36,490.0,1,0.146,0.569,0,20.7,salaried,393.96,0.212,1
42,35439.2,24236.23,12,662.0,3,0.876,0.752,1,9.2,salaried,2019.69,0.684,1
27,59186.84,25193.58,12,725.0,0,0.792,0.116,1,1.2,salaried,2099.46,0.426,0
34,85178.92,10527.61,24,775.0,1,0.461,0.911,0,24.9,salaried,438.65,0.062,0
35,146223.26,33746.15,48,659.0,2,0.867,0.245,0,22.2,business_owner,703.04,0.058,0
27,130525.96,29240.59,24,820.0,2,0.208,0.833,1,1.6,self_employed,1218.36,0.112,0
29,52674.39,15440.31,24,647.0,0,0.144,0.662,1,4.4,salaried,643.35,0.147,1
28,38479.72,8996.84,48,537.0,1,0.561,0.56,2,30.0,self_employed,187.43,0.058,0
43,77773.9,6637.49,24,645.0,0,0.375,0.869,0,19.5,salaried,276.56,0.043,0
49,37354.31,16756.26,48,631.0,0,0.339,0.969,0,24.0,business_owner,349.09,0.112,0
38,33488.33,32167.36,24,696.0,1,0.674,0.997,0,11.7,salaried,1340.31,0.48,0
51,42081.65,12230.75,12,674.0,2,0.178,0.683,0,15.5,salaried,1019.23,0.291,1
50,39524.0,7978.86,36,668.0,1,0.712,0.339,1,18.6,self_employed,221.64,0.067,0
59,60253.46,21915.61,24,737.0,3,0.356,0.875,0,24.2,business_owner,913.15,0.182,0
55,36271.92,14834.45,36,611.0,1,0.889,0.654,0,10.2,self_employed,412.07,0.136,1
38,51152.21,18206.66,60,698.0,2,0.737,0.323,1,20.2,business_owner,303.44,0.071,1
62,108822.86,9748.15,24,675.0,0,0.599,0.932,0,23.3,salaried,406.17,0.045,1
59,52107.82,10700.97,12,660.0,1,0.245,0.748,0,24.2,self_employed,891.75,0.205,0
37,104649.42,9720.6,48,644.0,0,0.863,0.453,0,15.0,salaried,202.51,0.023,0
34,89413.62,18024.76,12,536.0,1,0.078,0.454,0,14.2,salaried,1502.06,0.202,1
51,65908.33,10898.31,36,627.0,1,0.24,0.996,0,3.1,salaried,302.73,0.055,0
44,41065.5,19062.05,48,633.0,2,0.081,0.374,0,14.9,salaried,397.13,0.116,0
55,82475.29,9202.01,12,585.0,0,0.872,0.094,0,21.1,self_employed,766.83,0.112,0
64,43261.25,18006.73,12,528.0,1,0.791,0.539,0,27.6,salaried,1500.56,0.416,1
54,48971.57,20379.17,12,600.0,0,0.859,0.885,0,3.8,salaried,1698.26,0.416,1
23,57820.54,16300.09,48,607.0,1,0.658,0.585,0,29.1,salaried,339.59,0.07,0
57,48889.42,23161.02,12,529.0,2,0.073,0.793,0,7.0,self_employed,1930.08,0.474,1
63,34196.07,10007.86,12,529.0,3,0.842,0.055,0,5.3,salaried,833.99,0.293,1
60,22844.15,20243.42,36,462.0,2,0.408,0.673,2,3.4,business_owner,562.32,0.295,1
46,79186.92,15367.45,12,677.0,3,0.363,0.079,1,29.7,salaried,1280.62,0.194,0
43,65197.15,8218.64,12,738.0,1,0.292,0.556,0,16.8,salaried,684.89,0.126,0
64,20737.41,4254.71,60,651.0,1,0.294,0.498,1,8.1,salaried,70.91,0.041,1
59,33745.63,4837.26,48,614.0,2,0.731,0.946,0,9.5,business_owner,100.78,0.036,0
35,53612.24,3550.99,60,525.0,0,0.268,0.132,2,28.5,salaried,59.18,0.013,1
24,61162.29,17251.9,36,452.0,1,0.239,0.009,0,27.0,salaried,479.22,0.094,0
49,22943.12,10994.37,60,647.0,1,0.643,0.137,1,10.5,self_employed,183.24,0.096,0
42,46881.61,14077.42,24,705.0,2,0.294,0.171,1,1.9,self_employed,586.56,0.15,0
45,64204.42,11989.17,48,575.0,1,0.061,0.251,0,25.0,salaried,249.77,0.047,0
33,41119.76,18939.44,12,745.0,0,0.842,0.815,0,27.4,salaried,1578.29,0.461,0
38,55709.99,19274.68,60,588.0,1,0.317,0.377,0,25.1,self_employed,321.24,0.069,0
53,38415.8,13708.08,60,748.0,4,0.7,0.841,1,27.4,business_owner,228.47,0.071,0
36,77234.24,14214.99,12,580.0,1,0.449,0.272,1,17.3,salaried,1184.58,0.184,1
62,32871.36,14559.79,12,410.0,2,0.164,0.861,1,25.2,salaried,1213.32,0.443,1
64,27693.72,30793.83,36,706.0,0,0.613,0.008,0,28.3,salaried,855.38,0.371,0
22,49734.96,4012.79,60,567.0,1,0.247,0.935,2,26.7,business_owner,66.88,0.016,1
55,23938.35,8934.61,60,511.0,0,0.295,0.746,1,17.6,business_owner,148.91,0.075,1
62,17110.45,22452.49,24,693.0,1,0.078,0.413,0,22.4,salaried,935.52,0.656,0
54,84277.28,25971.15,24,570.0,2,0.064,0.577,0,21.6,salaried,1082.13,0.154,0
50,29968.07,17262.99,60,523.0,0,0.487,0.933,0,24.1,self_employed,287.72,0.115,1
33,25164.11,11962.4,24,768.0,0,0.099,0.583,0,6.9,business_owner,498.43,0.238,0
33,32667.0,40820.34,60,632.0,2,0.228,0.229,0,0.1,salaried,680.34,0.25,0
38,31941.92,14863.85,48,521.0,1,0.835,0.573,0,15.3,salaried,309.66,0.116,1
52,45658.46,13608.8,36,608.0,1,0.12,0.871,0,23.0,salaried,378.02,0.099,0
52,28374.8,29705.02,24,842.0,2,0.297,0.987,0,3.8,self_employed,1237.71,0.523,0
55,62886.89,17771.13,60,660.0,1,0.668,0.584,3,16.0,self_employed,296.19,0.057,0
59,67718.66,23479.86,24,592.0,1,0.802,0.156,0,9.4,self_employed,978.33,0.173,0
49,25913.11,25189.52,36,695.0,0,0.089,0.772,3,25.1,salaried,699.71,0.324,1
49,35988.39,10684.15,48,609.0,1,0.208,0.997,0,3.0,salaried,222.59,0.074,0
64,37739.83,38585.78,12,604.0,2,0.38,0.474,0,25.4,salaried,3215.48,1.022,0
36,45138.75,3049.48,12,591.0,1,0.357,0.384,0,18.3,business_owner,254.12,0.068,0
64,84232.98,4073.29,24,727.0,0,0.295,0.553,1,27.6,salaried,169.72,0.024,0
30,86695.45,8882.79,60,668.0,1,0.256,0.165,0,28.1,self_employed,148.05,0.02,0
50,171002.54,10362.86,36,778.0,1,0.278,0.971,0,24.3,business_owner,287.86,0.02,0
45,15761.3,16606.92,48,678.0,0,0.163,0.838,0,15.9,salaried,345.98,0.263,0
59,30879.63,8833.74,48,787.0,1,0.189,0.113,1,4.3,salaried,184.04,0.072,0
40,121419.24,13264.53,48,709.0,3,0.566,0.945,0,6.8,salaried,276.34,0.027,1
25,19923.39,11812.51,12,627.0,1,0.298,0.943,0,12.5,salaried,984.38,0.593,0
21,120046.27,44474.85,36,638.0,3,0.39,0.316,0,21.9,salaried,1235.41,0.123,0
50,52768.81,8242.13,12,815.0,1,0.4,0.619,0,16.3,salaried,686.84,0.156,0
23,53748.25,4866.71,24,767.0,1,0.143,0.111,1,13.1,self_employed,202.78,0.045,0
34,25850.91,26144.66,48,789.0,1,0.747,0.084,0,14.3,self_employed,544.68,0.253,0
50,39121.14,8704.77,36,559.0,3,0.863,0.502,1,22.2,business_owner,241.8,0.074,1
24,117440.63,12644.81,48,481.0,2,0.274,0.05,0,1.0,salaried,263.43,0.027,1
38,47865.89,9066.08,12,574.0,1,0.3,0.875,3,13.3,self_employed,755.51,0.189,1
57,39251.72,20791.63,12,665.0,4,0.639,0.928,1,17.2,salaried,1732.64,0.53,1
45,60045.6,5857.25,12,592.0,2,0.119,0.067,0,17.7,business_owner,488.1,0.098,0
21,44528.79,2491.11,48,652.0,0,0.821,0.047,1,18.6,salaried,51.9,0.014,0
35,58254.44,29069.06,36,609.0,1,0.153,0.221,1,1.6,self_employed,807.47,0.166,0
29,32052.46,15498.25,36,491.0,3,0.672,0.93,0,16.7,salaried,430.51,0.161,1
35,47165.77,25427.5,24,689.0,2,0.298,0.769,0,16.5,salaried,1059.48,0.27,0
44,35577.26,28490.53,48,653.0,1,0.325,0.676,1,25.6,self_employed,593.55,0.2,0
24,19890.88,7708.82,24,770.0,0,0.17,0.776,1,22.8,business_owner,321.2,0.194,0
32,62378.68,13854.97,24,664.0,0,0.599,0.199,1,0.9,salaried,577.29,0.111,0
57,26452.7,18092.14,24,720.0,3,0.726,0.257,0,16.7,self_employed,753.84,0.342,0
57,45144.76,12519.28,24,576.0,0,0.858,0.318,0,20.7,salaried,521.64,0.139,1
63,77888.54,11077.92,12,681.0,0,0.332,0.605,0,17.4,salaried,923.16,0.142,0
26,23181.12,11752.36,24,723.0,0,0.578,0.608,2,20.3,self_employed,489.68,0.253,0
59,66326.32,25594.32,36,700.0,2,0.403,0.209,0,3.5,salaried,710.95,0.129,0
44,42196.53,11436.81,24,630.0,0,0.524,0.437,1,5.1,self_employed,476.53,0.136,0
31,30234.48,19151.53,12,682.0,0,0.188,0.69,0,17.5,salaried,1595.96,0.633,0
33,134788.43,16450.9,60,706.0,2,0.544,0.31,1,24.0,salaried,274.18,0.024,0
54,49007.17,7491.24,60,758.0,0,0.772,0.075,0,0.8,salaried,124.85,0.031,0
45,36899.51,16013.41,60,599.0,1,0.784,0.197,0,13.1,self_employed,266.89,0.087,0
27,33186.34,5307.08,48,549.0,1,0.461,0.165,0,29.8,self_employed,110.56,0.04,0
24,76159.21,16998.15,36,575.0,0,0.25,0.632,0,23.0,self_employed,472.17,0.074,0
28,36097.25,22803.52,12,663.0,1,0.761,0.069,0,13.5,self_employed,1900.29,0.632,0
40,71557.68,26182.55,60,650.0,1,0.9,0.885,0,2.9,self_employed,436.38,0.073,1
49,48960.06,7543.08,12,706.0,0,0.371,0.084,1,10.8,salaried,628.59,0.154,0
30,85655.96,9684.75,12,725.0,1,0.836,0.598,1,4.6,salaried,807.06,0.113,1
63,29106.89,15842.3,48,480.0,0,0.886,0.93,0,27.6,salaried,330.05,0.136,1
54,31209.21,10041.13,60,607.0,0,0.386,0.062,0,20.6,business_owner,167.35,0.064,0
46,42595.22,4199.3,24,669.0,5,0.659,0.383,0,25.7,salaried,174.97,0.049,0
61,44398.76,9652.6,12,750.0,2,0.544,0.328,0,26.9,business_owner,804.38,0.217,0
23,41057.2,15805.62,60,645.0,2,0.664,0.344,1,18.2,self_employed,263.43,0.077,1
26,182721.83,25349.57,12,773.0,2,0.181,0.6,0,0.2,self_employed,2112.46,0.139,0
25,137533.6,36810.01,48,700.0,2,0.362,0.262,0,16.7,salaried,766.88,0.067,0
25,56927.14,14399.79,48,684.0,3,0.103,0.027,0,24.1,salaried,300.0,0.063,0
43,60384.4,18767.78,24,640.0,0,0.571,0.962,0,9.4,self_employed,781.99,0.155,1
29,43555.18,23776.91,48,648.0,0,0.838,0.749,0,27.8,self_employed,495.35,0.136,0
55,29001.05,3903.64,60,680.0,0,0.526,0.135,0,29.9,business_owner,65.06,0.027,0
40,44755.24,7247.92,48,632.0,0,0.11,0.455,1,16.5,salaried,151.0,0.04,0
62,72081.94,14207.67,24,750.0,1,0.841,0.063,0,15.9,self_employed,591.99,0.099,0
55,94165.9,33981.34,36,729.0,1,0.163,0.028,0,19.7,salaried,943.93,0.12,0
38,80648.4,19493.89,12,758.0,1,0.801,0.048,0,17.0,salaried,1624.49,0.242,0
37,23042.9,16282.07,12,556.0,1,0.657,0.756,2,4.8,self_employed,1356.84,0.707,1
44,42420.46,11650.83,60,553.0,3,0.591,0.445,0,8.1,business_owner,194.18,0.055,0
23,23519.05,17258.78,24,694.0,1,0.549,0.844,1,6.1,business_owner,719.12,0.367,0
52,87941.03,9340.69,24,643.0,1,0.161,0.305,0,2.2,salaried,389.2,0.053,0
55,39887.08,8367.43,24,673.0,0,0.476,0.775,1,4.2,self_employed,348.64,0.105,0
58,47879.61,8815.24,12,549.0,4,0.217,0.078,2,29.2,self_employed,734.6,0.184,1
33,62319.22,29860.41,48,519.0,3,0.536,0.635,1,16.6,self_employed,622.09,0.12,0
45,195451.97,8069.52,12,671.0,5,0.43,0.361,1,3.8,self_employed,672.46,0.041,1
29,56057.74,10516.85,12,582.0,3,0.628,0.277,0,21.4,salaried,876.4,0.188,1
24,43515.15,17722.79,12,714.0,0,0.885,0.815,1,14.3,self_employed,1476.9,0.407,1
34,26356.73,7878.47,48,595.0,0,0.357,0.052,0,6.7,salaried,164.13,0.075,1
57,101652.94,15301.38,36,570.0,1,0.574,0.95,0,28.3,salaried,425.04,0.05,1
54,44765.0,15298.08,60,446.0,1,0.785,0.786,0,6.7,business_owner,254.97,0.068,1
31,112259.81,9185.0,36,762.0,1,0.129,0.356,0,2.9,salaried,255.14,0.027,0
61,85204.25,11438.41,36,713.0,1,0.73,0.991,0,6.2,business_owner,317.73,0.045,0
23,38891.15,7584.44,12,515.0,3,0.254,0.202,1,27.4,salaried,632.04,0.195,1
48,24437.2,30627.68,36,470.0,0,0.509,0.402,0,25.7,business_owner,850.77,0.418,1
49,56178.23,15592.67,12,596.0,1,0.893,0.885,0,26.8,self_employed,1299.39,0.278,1
29,36045.89,7121.08,12,735.0,1,0.886,0.997,0,27.5,salaried,593.42,0.198,0
23,49994.73,14411.63,60,603.0,3,0.318,0.239,0,2.3,business_owner,240.19,0.058,0
45,82828.28,14808.5,24,631.0,0,0.162,0.743,1,21.3,salaried,617.02,0.089,0
54,21444.19,3477.46,12,739.0,2,0.847,0.306,0,19.9,self_employed,289.79,0.162,0
32,55955.22,29859.74,36,561.0,5,0.81,0.766,0,29.8,self_employed,829.44,0.178,1
62,71667.89,7377.83,60,589.0,1,0.574,0.125,0,21.4,salaried,122.96,0.021,0
29,73427.61,46822.95,36,670.0,1,0.078,0.336,0,23.8,salaried,1300.64,0.213,0
35,24790.83,21529.39,24,625.0,1,0.689,0.075,0,21.4,salaried,897.06,0.434,0
60,60455.83,6794.73,48,571.0,1,0.187,0.492,0,18.6,business_owner,141.56,0.028,0
45,89479.81,11063.98,24,714.0,1,0.852,0.702,0,16.6,salaried,461.0,0.062,0
25,58198.62,23238.62,60,697.0,0,0.42,0.379,1,29.1,salaried,387.31,0.08,0
31,46265.55,11583.63,24,725.0,6,0.573,0.615,0,28.1,self_employed,482.65,0.125,0
54,86665.09,27090.61,24,636.0,2,0.289,0.569,0,13.1,self_employed,1128.78,0.156,1
44,34642.64,10661.12,60,492.0,0,0.454,0.295,0,8.5,salaried,177.69,0.062,0
35,22812.95,12743.81,60,651.0,1,0.691,0.487,1,15.3,business_owner,212.4,0.112,0
58,44342.6,23625.69,36,545.0,1,0.468,0.069,1,22.4,salaried,656.27,0.178,0
28,64056.62,19187.89,12,468.0,2,0.77,0.46,0,12.0,salaried,1598.99,0.3,1
25,82410.52,7668.4,48,625.0,0,0.656,0.458,0,16.1,self_employed,159.76,0.023,0
46,63911.29,17334.1,48,659.0,0,0.116,0.029,0,9.0,salaried,361.13,0.068,0
38,74452.05,14771.71,48,794.0,1,0.566,0.514,1,12.8,salaried,307.74,0.05,0
26,82673.61,7730.74,24,541.0,1,0.571,0.738,1,28.7,business_owner,322.11,0.047,0
57,41370.01,5800.58,60,711.0,1,0.374,0.452,0,6.4,salaried,96.68,0.028,0
33,45525.61,4192.99,60,506.0,1,0.324,0.646,2,29.7,salaried,69.88,0.018,1
48,93300.79,11196.38,60,764.0,1,0.103,0.532,0,6.5,business_owner,186.61,0.024,0
25,26766.9,12933.76,12,587.0,1,0.429,0.785,0,9.6,salaried,1077.81,0.483,0
33,60752.68,18083.35,60,620.0,3,0.336,0.514,1,2.6,self_employed,301.39,0.06,0
37,34256.98,21857.23,60,621.0,0,0.858,0.332,1,22.6,salaried,364.29,0.128,1
60,84976.57,10422.11,24,718.0,0,0.623,0.828,0,0.5,salaried,434.25,0.061,0
52,48583.16,12710.16,36,519.0,1,0.441,0.068,2,23.6,salaried,353.06,0.087,0
49,49207.29,8474.07,48,634.0,0,0.691,0.289,0,17.3,self_employed,176.54,0.043,0
23,116359.51,14077.64,24,592.0,2,0.712,0.591,1,22.5,self_employed,586.57,0.06,1
60,28623.36,23887.37,24,848.0,1,0.458,0.856,1,23.5,salaried,995.31,0.417,0
54,54606.58,14195.58,24,552.0,1,0.114,0.072,0,3.7,self_employed,591.48,0.13,1
60,44798.81,26849.31,48,418.0,4,0.713,0.096,0,0.6,self_employed,559.36,0.15,1
47,63972.31,23648.83,24,803.0,1,0.127,0.282,0,5.1,salaried,985.37,0.185,0
33,128626.15,32036.1,36,694.0,2,0.77,0.345,0,11.5,business_owner,889.89,0.083,1
53,36220.45,14436.85,60,579.0,0,0.334,0.844,1,2.2,self_employed,240.61,0.08,1
26,26938.21,9706.41,36,647.0,0,0.593,0.959,0,13.7,self_employed,269.62,0.12,0
44,32706.73,19394.41,60,578.0,1,0.679,0.017,0,8.6,salaried,323.24,0.119,1
39,43633.96,10681.39,60,474.0,0,0.08,0.015,0,10.9,self_employed,178.02,0.049,0
36,50620.68,19032.65,24,635.0,1,0.377,0.865,3,28.2,salaried,793.03,0.188,1
60,51909.88,8976.08,24,635.0,1,0.564,0.136,0,21.7,salaried,374.0,0.086,0
48,120732.24,8127.08,48,681.0,0,0.771,0.339,1,19.7,salaried,169.31,0.017,0
53,110461.19,27718.84,12,562.0,1,0.66,0.275,1,19.6,self_employed,2309.9,0.251,0
61,94039.79,7276.86,36,580.0,1,0.812,0.282,1,16.7,salaried,202.14,0.026,0
33,172339.1,24670.13,48,616.0,1,0.12,0.329,1,15.4,salaried,513.96,0.036,0
63,74016.94,18989.07,48,562.0,1,0.111,0.336,0,26.5,business_owner,395.61,0.064,0
45,85321.14,14137.39,36,752.0,0,0.656,0.62,0,2.3,salaried,392.71,0.055,0
62,73305.09,4291.59,36,726.0,0,0.389,0.629,0,8.7,self_employed,119.21,0.02,0
56,67538.47,32578.1,60,604.0,1,0.459,0.523,1,3.1,salaried,542.97,0.096,0
47,59706.62,7624.3,12,698.0,2,0.564,0.859,1,0.3,salaried,635.36,0.128,0
58,40197.96,23668.31,24,539.0,3,0.888,0.846,0,0.4,salaried,986.18,0.294,1
27,26281.25,8825.81,12,608.0,0,0.107,0.217,0,0.7,salaried,735.48,0.336,0
25,45920.78,8411.05,12,782.0,1,0.143,0.544,1,20.5,salaried,700.92,0.183,0
63,65048.4,19953.7,24,708.0,0,0.755,0.784,1,3.3,salaried,831.4,0.153,0
51,50824.36,18454.79,12,676.0,0,0.067,0.867,0,6.1,salaried,1537.9,0.363,0
43,28777.01,6720.66,48,618.0,0,0.433,0.255,0,12.6,business_owner,140.01,0.058,0
62,45118.99,31636.14,48,646.0,1,0.708,0.494,1,8.1,salaried,659.09,0.175,0
30,43958.38,11806.11,24,518.0,0,0.216,0.525,1,24.5,salaried,491.92,0.134,0
52,47516.04,13923.83,24,621.0,1,0.209,0.7,1,18.7,business_owner,580.16,0.147,1
63,62658.69,11178.57,36,684.0,4,0.314,0.33,1,10.0,salaried,310.52,0.059,0
50,69781.84,6893.55,36,648.0,0,0.178,0.293,0,9.5,business_owner,191.49,0.033,0
59,38176.46,20767.3,12,648.0,2,0.627,0.706,2,20.5,salaried,1730.61,0.544,0
51,80062.32,15894.53,12,591.0,0,0.22,0.399,1,5.1,self_employed,1324.54,0.199,0
38,86320.21,8241.59,24,568.0,0,0.243,0.004,1,8.4,salaried,343.4,0.048,1
56,57535.13,23540.56,12,560.0,1,0.539,0.938,0,10.6,salaried,1961.71,0.409,1
22,68348.52,13806.6,60,627.0,1,0.872,0.15,1,13.6,salaried,230.11,0.04,1
34,80186.92,13986.2,48,716.0,1,0.827,0.149,0,5.7,business_owner,291.38,0.044,0
33,28315.87,38789.75,12,573.0,2,0.785,0.818,0,4.7,salaried,3232.48,1.37,1
49,83063.92,5090.85,12,654.0,0,0.501,0.336,0,29.7,salaried,424.24,0.061,0
32,33023.33,5050.68,36,651.0,0,0.303,0.328,0,27.4,self_employed,140.3,0.051,0
59,34670.66,5781.38,60,734.0,2,0.65,0.622,1,15.7,business_owner,96.36,0.033,0
22,54075.94,16616.97,12,651.0,0,0.381,0.059,0,23.0,salaried,1384.75,0.307,0
52,16780.62,10770.58,48,516.0,1,0.711,0.237,1,20.2,salaried,224.39,0.16,1
33,53519.97,11296.77,12,841.0,0,0.064,0.053,1,2.3,salaried,941.4,0.211,0
47,80088.73,7589.72,24,737.0,1,0.5,0.292,1,15.5,business_owner,316.24,0.047,0
61,21526.46,36284.68,60,693.0,0,0.337,0.87,0,5.5,salaried,604.74,0.337,0
37,84499.82,44382.96,12,598.0,1,0.262,0.909,1,17.5,salaried,3698.58,0.525,1
60,34565.32,22910.32,60,621.0,1,0.613,0.309,0,1.9,salaried,381.84,0.133,0
51,54362.56,5407.97,12,522.0,0,0.61,0.188,0,4.9,self_employed,450.66,0.099,0
54,37168.35,9975.25,48,620.0,1,0.082,0.135,0,23.5,salaried,207.82,0.067,0
44,65281.19,21949.0,48,666.0,0,0.856,0.394,0,25.3,salaried,457.27,0.084,0
55,81836.1,12997.37,60,648.0,1,0.358,0.826,0,27.2,self_employed,216.62,0.032,0
26,67744.95,22955.95,36,808.0,0,0.83,0.853,1,26.9,self_employed,637.67,0.113,0
39,48923.32,28245.49,36,710.0,1,0.546,0.046,0,27.2,salaried,784.6,0.192,0
50,38641.12,41953.51,24,738.0,0,0.605,0.209,0,2.8,business_owner,1748.06,0.543,0
27,47351.27,9018.93,36,699.0,1,0.866,0.203,0,19.8,self_employed,250.53,0.063,0
30,68049.16,14027.44,60,665.0,1,0.749,0.828,0,21.0,self_employed,233.79,0.041,1
61,69226.1,10255.22,36,691.0,0,0.169,0.456,0,8.0,salaried,284.87,0.049,0
52,64564.07,4021.98,24,471.0,2,0.054,0.368,1,29.8,business_owner,167.58,0.031,0
54,25815.01,20352.37,12,627.0,0,0.312,0.957,0,8.6,salaried,1696.03,0.788,0
48,48459.75,18733.43,36,524.0,1,0.465,0.925,1,17.2,salaried,520.37,0.129,1
35,35713.55,9622.93,60,544.0,0,0.672,0.44,0,26.2,business_owner,160.38,0.054,0
50,68354.63,5121.32,60,757.0,1,0.612,0.128,0,8.7,business_owner,85.36,0.015,0
57,33440.2,10609.72,24,553.0,0,0.316,0.171,2,18.2,self_employed,442.07,0.159,0
49,61452.94,20716.3,24,531.0,2,0.511,0.112,2,21.6,self_employed,863.18,0.169,1
42,42570.05,29804.05,48,685.0,0,0.603,0.681,0,18.8,salaried,620.92,0.175,1
